"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
200001.00,659.00,2258.00,"Nuculana","elenensis","(G. B. Sowerby I in Broderip & Sowerby 1833)",6/12/2008 0:00:00,,112550,1,1,1
200008.00,1.00,8.00,"Aphrocallistes","whiteavesianus","Lambe 1892",,,750,0,0,0
200012.00,2.00,12.00,"Bathydorus","dawsoni","Lambe 1892",,,1050,0,0,0
200019.00,4.00,19.00,"Tetilla","arb","de Laubenfels 1930",,,1650,0,0,0
200023.00,5.00,23.00,"Stelletta","estrella","de Laubenfels 1930",,,1950,1,1,1
200028.00,7.00,28.00,"Normania","tenuilaminaris","Sollas 1886",,,2350,0,0,0
200035.00,10.00,35.00,"Spongia","suberia","Montagu 1818",,,2950,1,1,1
200036.00,10.00,36.00,"Suberites","ficus","of authors NEP in part not (Johnston 1842)",,,2950,0,0,0
200039.00,11.00,39.00,"Tethya","aurantia var californiana","de Laubenfels 1932",,,3150,0,0,0
200040.00,11.00,40.00,"Tethya","aurantia","of authors NEP not (Pallis 1766)",,,3150,1,1,1
200047.00,12.00,47.00,"Microciona","parthena","de Laubenfels 1930",,,3750,1,1,1
200050.00,13.00,50.00,"Plocamia","karykina","de Laubenfels 1927",,,3950,1,1,1
200054.00,14.00,54.00,"Hemectyon","hyle","de Laubenfels 1932",,,4250,1,1,1
200061.00,17.00,61.00,"Alcyonium","incrustans","Esper 1805-1814",,,4850,0,0,0
200062.00,17.00,62.00,"Halichondria","incrustans","of Johnston 1842",,,4850,0,0,0
200063.00,17.00,63.00,"Myxilla","barentsi","Lambe 1895",,,4850,0,0,0
200064.00,17.00,64.00,"Myxilla","behringensis","Lambe 1895",,,4850,0,0,0
200065.00,17.00,65.00,"Myxilla","rosacea","Lambe 1893",,,4850,0,0,0
200069.00,18.00,69.00,"Paresperella","psila","de Laubenfels 1930",,,5150,0,0,0
200080.00,21.00,80.00,"Duseideia","amblia","de Laubenfels 1930",,,6150,0,0,0
200094.00,24.00,94.00,"Leuconia","heathi","of de Laubenfels 1930",,,7450,0,0,0
200097.00,25.00,97.00,"Rhabdodermella","nuttingi","Urban 1902",,,7650,0,0,0
200105.00,26.00,105.00,"Euphysora","bigelowi","Maas 1905",,,8325,0,0,0
200106.00,26.00,106.00,"Euphysa","bigelowi","of Uchida 1927",,,8325,0,0,0
200107.00,26.00,107.00,"Steenstrupia","bigelowi","of Mayer 1910",,,8325,0,0,0
200112.00,30.00,112.00,"Corymorpha","aurata","of Fauchald & Jones 1976 not (Forbes 1848)",,,8750,0,0,0
200115.00,31.00,115.00,"Parypha","crocea","L. Agassiz 1862",,,8950,0,0,0
200116.00,31.00,116.00,"Tubularia","crocea","of authors NEP",,,8950,1,1,1
200120.00,33.00,120.00,"Syncoryne","eximia","of authors NEP",,,9250,1,1,1
200127.00,36.00,127.00,"Perigonimus","sp A","Ljubenkov 1976 §",,,9850,1,1,1
200129.00,37.00,129.00,"Perigonimus","formosus","Fewkes 1889",,,9950,0,0,0
200130.00,37.00,130.00,"Bimeria","formosa","of Torrey 1902",,,9950,0,0,0
200131.00,37.00,131.00,"Garveia","formosa","of Fraser 1948",,,9950,0,0,0
200132.00,37.00,132.00,"Perigonimus","serpens Cmplx","of SCAMIT Ed. 4 in part",,,9950,1,1,1
200135.00,38.00,135.00,"Perigonimus","yoldiarcticae","of authors NEP not Birula 1897",,,10150,1,1,1
200137.00,39.00,137.00,"Geryonia","octona","Fleming 1823",,,10250,1,1,1
200138.00,39.00,138.00,"Perigonimus","jonesi","Osborn & Hargitt 1894",,,10250,1,1,1
200139.00,39.00,139.00,"Perigonimus","serpens Cmplx","of SCAMIT Ed. 4 in part",,,10250,1,1,1
200142.00,40.00,142.00,"Tubularia","ramea","Pallas 1766",,,10450,1,1,1
200148.00,43.00,148.00,"Monobrachium","parasiticum","Bonnevie 1899",,,10950,0,0,0
200153.00,44.00,153.00,"Sertularia","volubilis","Linnaeus 1758",,,11350,0,0,0
200154.00,44.00,154.00,"Campanularia","groenlandica","Levensen 1893",,,11350,0,0,0
200155.00,44.00,155.00,"Campanularia","hincksi","Alder 1857",,,11350,0,0,0
200156.00,44.00,156.00,"Campanularia","urceolata","S. F. Clark 1876",,,11350,0,0,0
200159.00,46.00,159.00,"Campanularia","calceolifera","Hincks 1871",,,11550,1,1,1
200160.00,46.00,160.00,"Obelia","sp A","MEC 1990 §",,,11550,1,1,1
200162.00,47.00,162.00,"Sertularia","geniculata","Linnaeus 1758",,,11650,0,0,0
200164.00,48.00,164.00,"Campanularia","everta","S. F. Clark 1876",,,11750,0,0,0
200165.00,48.00,165.00,"Eucopella","everta","of Fraser 1937",,,11750,0,0,0
200167.00,49.00,167.00,"Sertularia","verticillata","Linnaeus 1758",,,11850,0,0,0
200168.00,49.00,168.00,"Campanularia","verticillata","of Fraser 1937",,,11850,0,0,0
200169.00,49.00,169.00,"Verticillina","verticillata","of Naumov 1960",,,11850,0,0,0
200175.00,51.00,175.00,"Halecium","plumularioides","S. F. Clark 1876",,,12350,0,0,0
200176.00,51.00,176.00,"Plumularia","plumularioides","of authors NEP",,,12350,1,1,1
200178.00,52.00,178.00,"Diplocheilus","allmani","Torrey 1902",,,12450,1,1,1
200183.00,54.00,183.00,"Sertularia","syringa","Linnaeus 1767",,,12850,0,0,0
200184.00,54.00,184.00,"Calicella","syringa","of Naumov 1969",,,12850,0,0,0
200187.00,55.00,187.00,"Cladocarpus","sp A","MEC 1990 §",,,13050,1,1,1
